iter	Logloss
0	0.6785369353
1	0.6651546145
2	0.6531455934
3	0.6425190697
4	0.6329206742
5	0.6241612764
6	0.6166316389
7	0.609752373
8	0.6033562425
9	0.5976584622
10	0.5924755913
11	0.5877677084
12	0.5836669869
13	0.5799348005
14	0.5766621229
15	0.5735048592
16	0.5708960196
17	0.5682792496
18	0.5661720568
19	0.564171488
20	0.5624303461
21	0.5606197168
22	0.5589884943
23	0.5575499585
24	0.5561829644
25	0.5550129499
26	0.5537915781
27	0.5528383308
28	0.5519675636
29	0.5510968621
30	0.5502401533
31	0.549472125
32	0.5487731193
33	0.5481274419
34	0.5474310496
35	0.5468077995
36	0.5462490092
37	0.5457429752
38	0.5452757728
39	0.5447914271
40	0.5443024881
41	0.5439547578
42	0.5435736444
43	0.5432787383
44	0.5429594121
45	0.5426466568
46	0.5423026911
47	0.5419751977
48	0.5416533018
49	0.5413774575
50	0.5411081534
51	0.5408969684
52	0.540696518
53	0.5404816869
54	0.5403006928
55	0.5400699791
56	0.5399087966
57	0.5397124637
58	0.5395213468
59	0.5393271932
60	0.5391789356
61	0.5390171369
62	0.5388414663
63	0.5386853923
64	0.5385302918
65	0.5383897013
66	0.5382316606
67	0.5381166129
68	0.5379617887
69	0.537829168
70	0.5376961878
71	0.53755499
72	0.5374376204
73	0.5372962077
74	0.5371702282
75	0.5370922888
76	0.5369984536
77	0.5368761947
78	0.536765679
79	0.5366919382
80	0.536616439
81	0.5365337199
82	0.5364102596
83	0.5363238329
84	0.5362501053
85	0.5361794757
86	0.5360782628
87	0.5360092557
88	0.5359582469
89	0.5358587857
90	0.5357383379
91	0.5356763665
92	0.5355648334
93	0.5354504676
94	0.5354013027
95	0.5353549048
96	0.5352923414
97	0.5352131545
98	0.5351500803
99	0.5350919809
100	0.535041871
101	0.5349994174
102	0.5349227277
103	0.5348625082
104	0.5348090043
105	0.5347723784
106	0.5347124154
107	0.5346388719
108	0.5345641094
109	0.5345079658
110	0.5344455932
111	0.5344026287
112	0.5343631087
113	0.5343031303
114	0.534257241
115	0.5341871727
116	0.5341465411
117	0.5340959905
118	0.5340402656
119	0.5339699912
120	0.5339242182
121	0.5338823653
122	0.5338403085
123	0.5337482493
124	0.5336707988
125	0.5336203667
126	0.5335589851
127	0.5334972944
128	0.533432214
129	0.5333739151
130	0.5333250331
131	0.5332684421
132	0.53322596
133	0.5331862361
134	0.5331302766
135	0.5330734818
136	0.5330220739
137	0.5329582806
138	0.5329207996
139	0.5328836891
140	0.5328415468
141	0.5327775781
142	0.5327212985
143	0.5326701033
144	0.532626468
145	0.5325621506
146	0.532503821
147	0.5324753293
148	0.5324202797
149	0.5323901634
150	0.532357712
151	0.5322807526
152	0.5322375821
153	0.5321878077
154	0.5321413089
155	0.5320929091
156	0.5320310321
157	0.5319724613
158	0.531924465
159	0.5318925223
160	0.5318496806
161	0.5318150279
162	0.5317436573
163	0.5317137448
164	0.5316799802
165	0.5316399361
166	0.5315865221
167	0.5315077035
168	0.5314738774
169	0.5314356312
170	0.5314107353
171	0.5313753481
172	0.5313317676
173	0.5313058433
174	0.5312776125
175	0.5312429555
176	0.5312094429
177	0.5311669761
178	0.5311243778
179	0.5310760176
180	0.531042801
181	0.5310158594
182	0.5309841557
183	0.5309730572
184	0.5309223773
185	0.5308448807
186	0.5308092875
187	0.530787461
188	0.5307601379
189	0.5307095501
190	0.5306772588
191	0.5306437199
192	0.530605682
193	0.5305614854
194	0.5305246051
195	0.5304795556
196	0.5304503031
197	0.530417935
198	0.5303741659
199	0.5303376101
200	0.5302885614
201	0.5302396618
202	0.5302102537
203	0.5301714089
204	0.5301088851
205	0.5300778325
206	0.5300250061
207	0.5299624691
208	0.529903598
209	0.5298708024
210	0.5298481252
211	0.5298075286
212	0.529774915
213	0.5297410276
214	0.529697903
215	0.5296601392
216	0.5296163613
217	0.5295714543
218	0.5295152492
219	0.5294748938
220	0.5294381298
221	0.5293946654
222	0.5293397079
223	0.5293100739
224	0.5292669604
225	0.5292321455
226	0.5292020686
227	0.5291675168
228	0.5291162032
229	0.5290871766
230	0.5290254288
231	0.5289919799
232	0.5289741569
233	0.5289336415
234	0.5289050029
235	0.5288686949
236	0.5288311591
237	0.5287997535
238	0.5287393608
239	0.528696734
240	0.5286434406
241	0.5286000354
242	0.5285683273
243	0.5285371717
244	0.528508726
245	0.5284687609
246	0.5284156736
247	0.5283903019
248	0.5283397579
249	0.5282933293
250	0.5282607792
251	0.5282164905
252	0.5281770099
253	0.5281320546
254	0.5280882219
255	0.5280469325
256	0.5279975703
257	0.5279372762
258	0.5278996527
259	0.5278450526
260	0.5278059842
261	0.5277716736
262	0.5277435678
263	0.527705304
264	0.527675977
265	0.5276504649
266	0.5276165029
267	0.5275833455
268	0.527543683
269	0.5275114706
270	0.5274707206
271	0.5274336035
272	0.5274007575
273	0.5273695493
274	0.5273230593
275	0.527289106
276	0.5272553742
277	0.5272154442
278	0.5271797589
279	0.5271394035
280	0.5271116002
281	0.5270637903
282	0.5270204816
283	0.5270004026
284	0.5269573679
285	0.5269191327
286	0.5268833115
287	0.5268514499
288	0.5268407482
289	0.5268025525
290	0.5267718639
291	0.5267328503
292	0.5267033479
293	0.5266788049
294	0.5266189318
295	0.526580736
296	0.5265463179
297	0.5265212071
298	0.5264886417
299	0.5264575212
